fullName,firstName,lastName,id,department,overallRating,numEvals
Katherine Beglin,Katherine,Beglin,04ce448a-b17f-4a55-98b6-ce874d0509b2,ENGL,3.33,2
Farah Al-Nakib,Farah,Al-Nakib,04fe35b3-75ac-4caa-aef1-5be56cc90aef,HIST,4,2
Peter Kremidas,Peter,Kremidas,0528f8e8-f58a-40db-a147-61d52df36bf3,TH,4,1
Alypios Chatziioanou,Alypios,Chatziioanou,05419690-83c6-42cf-9736-b7d218b51f52,CE,3.22,22
Michael Winn,Michael,Winn,056fe509-c073-4dd1-b3b9-3e2495033075,ENGL,2.65,109
Isaac Comelli,Isaac,Comelli,05710293-567d-496e-a721-9481316482f3,MATH,2.5,1
Rachel Johnson,Rachel,Johnson,057f7178-7610-4370-98f0-864a73dc5e4f,CHEM,4,1
Noel Ellis,Noel,Ellis,05cc433b-cd90-4189-ad8a-99baadf5900f,EE,3.67,6
Linda Vannasupa,Linda,Vannasupa,05d770d6-bd25-4703-b1d5-bed534f83c2e,MATE,2.54,14
Jean-Francois Coget,Jean-Francois,Coget,05e0f746-f498-455f-9a08-e6e5dade0897,BUS,3.29,26
Laura Hunkler,Laura,Hunkler,05f1ec78-a596-4c98-820a-d9ed186fb9e1,COMS,3.59,12
Karen Bangs,Karen,Bangs,05f5070e-63cd-43f7-b0fd-3213c59fec71,IME,2.11,36
Christopher Den Hartog,Christopher,Den Hartog,06073a33-d9f7-4353-98fb-3229ce966877,POLS,3.28,94
Amy Wiley,Amy,Wiley,061e9c47-c43a-4721-b2fa-a576ecc32735,ENGL,3.01,90
Zahra Rasti,Zahra,Rasti,062f35eb-8414-43c6-aad5-a16b86da4688,ARCH,0,3
Adam Gray,Adam,Gray,06532128-f8b0-4514-a33b-1c6429974263,CSC,2,1
Terry Jones,Terry,Jones,0655c4ba-79ab-4c0a-a24b-58eb883a3e4c,SOC,3.35,103
Dulce Romero-Urbina,Dulce,Romero-Urbina,06772524-93d2-450b-b82d-4f31ea630828,HLTH,4,14
Brian Hampson,Brian,Hampson,06824399-5145-4438-9b25-a8b2138089ea,FSN,2.08,9
Teresiana Matarrese,Teresiana,Matarrese,068c2ad3-6d35-40e4-ab6f-a8806689c547,ITAL,3.57,7
Robert Echols,Robert,Echols,06a73773-1b8a-4823-8878-131e8cdeb300,PHYS,3.3,86
Khin Han,Khin,Han,06cee99b-c0ff-49e4-96a3-60ded605824b,MATH,4,1
Kevin Brouwers,Kevin,Brouwers,06d8bdfb-9348-43d5-b18e-e2b9233e187d,ME,1.39,16
Daniel Ford,Daniel,Ford,06e41dc8-b332-4a55-8f79-f9c4fc7dc1a4,MATH,4,1
David Watts,David,Watts,06fba0d6-f6a3-40aa-9059-bc35695fe5df,LA,1.67,9
Eric Hoff,Eric,Hoff,070071b2-d2b5-4219-b045-c458196a734f,ART,4,4
Dawn Neill,Dawn,Neill,07032fdb-4be4-4107-b2aa-e219f91385df,SOC,2.84,60
Joseph Pechkis,Joseph,Pechkis,070f03e3-cb7f-428c-adad-0a78184ad6c4,PHYS,1.54,13
Preston Jones,Preston,Jones,0725ba87-ae7e-4a0e-9c4f-e4569cc65bcc,CE,4,6
David Retz,David,Retz,0739f636-6b9e-4f95-b76e-035a1ddf4bfd,EE,3.07,14
Abby Lentz,Abby,Lentz,076d4e80-f2d6-4616-8134-fde24bebd509,ARCE,4,1
Mark Rawson,Mark,Rawson,077cbcb5-1a4d-48b6-9fd6-20026ede92bb,ARCH,4,1
Alyson McLamore,Alyson,McLamore,07981647-93a0-4830-87f1-060c7cf52ba3,MU,3.15,27
Amy Ward,Amy,Ward,07c3256b-a9a8-4ac8-8c58-c26187e5e758,COMS,2.91,42
Skip Moses,Skip,Moses,07d95960-f1e6-47d2-9805-95eb2aed9d8b,MATH,2.67,6
Carolyn Niner,Carolyn,Niner,07f011b7-9e38-48b5-b259-46775e412e89,BUS,3,3
James Bachman,James,Bachman,08265f14-1b79-41c6-864e-d2b6d2db1853,MU,4,1
Christine Hackman,Christine,Hackman,0831097b-651e-4ea2-842b-0a15b9ae12ea,KINE,2.07,6
Steven Burt,Steven,Burt,08343e3f-0e32-4d53-b38e-659caee0bd5d,BUS,3.7,19
Malcolm Keif,Malcolm,Keif,08373b3b-7bbf-4246-b071-29b8a0b94305,GRC,2.9,18
Michael Miller,Michael,Miller,08573d1b-e82d-4561-b5a2-520948285607,ART,2.79,33
Michael Cornaire,Michael,Cornaire,08669d0c-55f5-4ce8-8dd7-97a48ace4067,CHEM,0.71,6
Nick Kominitsky,Nick,Kominitsky,08cb78a7-2d35-4fd2-a30b-7a329623308b,ENGL,2.5,3
Quemars Ahmed,Quemars,Ahmed,08ef301c-b849-473c-ba39-9d938030e5d2,POLS,4,1
Zachary Scott,Zachary,Scott,08ef9e31-c359-44c4-8e47-3d5af6518ed1,ART,4,1
Frances Mayer,Frances,Mayer,090de4b1-0d40-46de-bda9-3520b2e9ee4f,EDUC,3,5
Richard Besel,Richard,Besel,093a81c1-e2f9-425b-b220-403c57dd60cd,COMS,3.55,19
John Gilmore,John,Gilmore,0961b0c1-e30e-4cdc-9593-b15e4d0f0e18,BUS,3,1
Mahdi Rastad,Mahdi,Rastad,09ac10ca-f988-4d97-9f22-48c399b29648,BUS,2.36,27
Pat Fidopiastis,Pat,Fidopiastis,09b48d98-0615-4808-a211-e58c5de4ec27,BIO,3.36,27
Stuart Goldenberg,Stuart,Goldenberg,09b970a1-c740-43e1-bff3-dfe2d6e4d193,MATH,2.01,70
Larry Gay,Larry,Gay,09bfeea7-d956-4952-a8f8-3b308c8a5d2a,ITP,1.78,6
Roger Bishop,Roger,Bishop,09c0fea5-5b1c-499d-9dd8-926794f736d9,BUS,3.06,64
Brian Tyrrell-Nic Dhonncha,Brian Tyrrell-Nic,Dhonncha,09e2899c-7c46-4d45-bb3b-c6c1c31194cc,MATH,2.17,31
Matthew Burd,Matthew,Burd,09eded0c-469c-4a80-b68a-85ecd58c34cd,ASCI,2.4,8
Shelby Burnett,Shelby,Burnett,0a07f81d-7cc7-4dfc-b234-0b63fd3f2c2a,MATH,3.05,18
Martin Kou,Martin,Kou,0a082335-ed44-4f91-9e40-e6c2f3aad45b,EE,3.67,4
George Lewis,George,Lewis,0a0c0644-09dc-4089-a76d-05bdc25ecda5,MATH,1.61,84
Rebecca Bishop,Rebecca,Bishop,0a2b8be0-15c5-47a1-82b5-7f98f4ea28a1,MATH,2.17,6
Arthur Chapman,Arthur,Chapman,0a37bf1a-7e13-491a-9f5c-6209209d7e04,ARCH,2.4,14
Giseli Nazmi,Giseli,Nazmi,0a3c8ad4-2d5e-4906-9917-7cd646a63533,WGS,3.33,2
Jacqueline Doremus,Jacqueline,Doremus,0a69e32f-bb2b-4d72-a667-bbaa35868ee6,ECON,1.84,47
Chuck Dana,Chuck,Dana,0ace36cb-fc98-4af0-b1a4-6de67e886b65,CSC,1.29,22
Kyle Kamaiopili,Kyle,Kamaiopili,0acf341d-5072-420a-bd60-b2a7a93fad53,ENGL,3,4
Roslyn Caldwell,Roslyn,Caldwell,0ae8f5c4-ee13-4db1-95ed-c29718518dbe,PSY,1.52,33
Tiffany Faulstich,Tiffany,Faulstich,0b0836c9-598a-4af2-b738-2018f87a5d36,AEPS,4,2
Aaron Newcomer,Aaron,Newcomer,0b47c71f-3b28-4ffc-ac7e-1e3d3a84c4ee,MATH,3,15
David Bachman,David,Bachman,0b5c57c4-8dcf-4688-97b7-32c8a88ff654,MATH,3.38,15
Daniel Lassanske,Daniel,Lassanske,0b63b5c2-9662-470e-a1ef-d1208330a16b,AEPS,3.75,19
Taryn Okuma,Taryn,Okuma,0bd4e6e0-563b-4519-83e2-6b5fb74ad103,ENGL,2.5,1
Zachary Straus,Zachary,Straus,0bf6d0d7-8ed6-45c9-b209-ee5a5f2745dd,MATH,3.33,3
Nathaniel Martinez,Nathaniel,Martinez,0c1d283f-c594-4e1f-93f1-6c9ea095c310,BIO,3.65,13
Megan Lambertz-Berndt,Megan,Lambertz-Berndt,0c366055-d914-4e46-a6f9-916880300b74,COMS,3.53,18
James Mccomb,James,Mccomb,0c3d6f8b-340a-42f1-9a6b-71b6d1ec8aaf,HIST,0.99,19
John Lange,John,Lange,0c4c9227-c8e3-426f-b807-5bf4720d5302,ARCH,2.46,12
Carlos Flores,Carlos,Flores,0c896ffd-7111-4a03-b59b-20d422e0ef22,ECON,3.14,16
Derek Gragson,Derek,Gragson,0c8fe2c4-73fa-4355-8a65-0c5af20b0207,CHEM,2.62,94
Alberto Jimenez,Alberto,Jimenez,0c9674c5-825d-43ec-a54d-ca1d905523ee,MATH,2.44,110
Ralph Merah,Ralph,Merah,0ca43d56-3ae2-498c-ac11-6167d9ffaf73,MATH,2.67,5
Laurian Chirica,Laurian,Chirica,0cb36620-9830-4300-80d5-50e2db855bfe,CSC,3,26
Allesandro Hill,Allesandro,Hill,0cd9fc81-f2c3-4435-93ae-6773db1310d4,IME,4,1
Glen Starkey,Glen,Starkey,0d0f9438-6115-407d-88ec-b1f0302dd49d,ENGL,2.84,117
Vanessa Newsome-Slade,Vanessa,Newsome-Slade,0d17a5d0-b9fb-4fb3-96da-32f76cdb305f,MATH,1,4
Nikki Adams,Nikki,Adams,0d3d29e7-c078-4eb8-b5e6-eb0813acd753,BIO,2.86,28
John Connely,John,Connely,0d4f1a90-8f94-45fd-8d97-e75b0d90682c,CSC,3.41,25
Jess Lee,Jess,Lee,0d7c190e-30f0-4546-ac7b-947589695764,SOC,3,2
Ron deYong,Ron,deYong,0d887a6c-715a-4f2f-a51b-3dbd2ed775c1,AGB,3,4
Brian Kelly,Brian,Kelly,0dbf3176-aeeb-468b-bb27-62fd350ef027,ARCH,3.33,2
Jim Cushing,Jim,Cushing,0dd96579-9d01-4d5f-a5c0-ca2247f65f63,ENGL,2.36,80
Erin Westmoreland,Erin,Westmoreland,0de9ab05-f404-42cf-ac01-6bd8a861d8db,CE,3.5,4
Dennis O'Brien,Dennis,O'Brien,0def05cd-ae83-4759-a88f-a5ffe2a4efb4,STAT,1.77,12
Paul Redden,Paul,Redden,0e0c4ab2-c7a2-4aca-a996-258971819f45,CM,2.25,4
Lane Fronczek,Lane,Fronczek,0e37c220-c5cb-43a2-adea-69eb1eb6d778,BUS,4,6
ansgar killing,ansgar,killing,0e40a11d-1bea-4b7b-8c4e-448bff923221,ARCH,2.14,20
Elizabeth Sperow,Elizabeth,Sperow,0e52c8d0-7cb9-40b2-95bf-1ebe5015964b,BUS,3.61,41
Jonathan Fernsler,Jonathan,Fernsler,0e57ba06-6072-4ece-be65-1ee996222bb6,PHYS,2.64,53
Mark Miller,Mark,Miller,0e6234e5-0e12-4e97-8a88-9b199ec391ee,MU,2,1
Jared Van Ramshorst,Jared,Van Ramshorst,0e7837e3-9449-424b-af24-9d11f2809e63,POLS,4,19
Robert Brown,Robert,Brown,0e89e675-8084-4fa5-b14e-47405ddc25af,BIO,2.07,45
Tony Frazier,Tony,Frazier,0e9198bf-415d-4faf-acfa-d4b16280aba8,BIO,3.67,17
Patricia Mulligan,Patricia,Mulligan,0e91caac-ade0-428a-ac1d-21396ef307b4,EDUC,3.2,4
James Keese,James,Keese,0ea1c44e-431d-4a5f-be1b-f930fd556f53,SOC,2.8,85
Erik Veach,Erik,Veach,0ef2848c-c6b3-41e2-a5a6-37cc5a332174,PHYS,3.38,8
Dwight Brown,Dwight,Brown,0f118b76-7262-4bb6-a206-0d4d774e05b6,PHIL,3.01,68
Ben Lutz,Ben,Lutz,0f3bb44c-6cc4-4c4f-aa88-fe6ebc3ea40b,ME,4,3
David Parkinson,David,Parkinson,0f476bc1-9830-447c-a1da-a484d9356991,CSC,3.52,24
Hal Johnston,Hal,Johnston,0f5faa54-0bea-4192-8739-cb9a46ee84f6,CM,1.31,11
Mason Medizade,Mason,Medizade,0f637490-e9da-4002-a1d0-ef433c5e1aa8,ME,0.81,47
John Ridgely,John,Ridgely,0f80a2ca-58c8-4393-8413-91093c2cfd16,ME,2.87,14
Gary Clay,Gary,Clay,0f872900-f1db-4984-ab3d-0473538166b1,LA,2.32,17
Shoreh Niku,Shoreh,Niku,0fc0a136-2bff-4d1f-a003-5f1d6f94845d,FSN,2.4,38
Meredith Brammeier,Meredith,Brammeier,0fc8a543-9cf0-4d0e-bd10-7aaba5d33a0e,MU,3.46,20
Daniel Malone,Daniel,Malone,0fcaee7e-6d90-4a2e-a4fa-b781c3f6534d,MATH,2.81,19
jnan blau,jnan,blau,0fd39f4b-897b-442c-a521-4e8ca2ac8aa4,COMS,3.5,27
April Grow,April,Grow,0fe890dd-4fe2-4909-8b1a-72a371721672,CSC,2.4,5
Robert Szlavik,Robert,Szlavik,1039e65f-6c4a-4283-92dd-853d3d9ae861,BMED,3.06,16
John Haley,John,Haley,104a99ba-287c-4ef7-add5-e67827bee1c7,POLS,1.67,2
Chris Carr,Chris,Carr,10566fa1-e8c6-419c-967a-68057f2643f8,BUS,3.53,205
Scott Fraser,Scott,Fraser,10bdbba7-9814-4631-b142-e047a22ec6fc,PHYS,2.98,54
Matt Burd,Matt,Burd,10cf35b0-058c-4d44-ab71-92bbf663fe4c,ASCI,3.73,14
Johanna Johnson,Johanna,Johnson,10d3698e-68af-47ff-9b56-92420ef94dee,BUS,3,2
Bill Siembieda,Bill,Siembieda,11265575-2178-43ac-afe9-d1a1e5e222dc,CRP,0.7,10
Amarilis Iscold,Amarilis,Iscold,113c0a67-414b-46fc-92ef-07387a5e73ab,CD,4,9
Larisa Vredevoe,Larisa,Vredevoe,1173414b-4b60-45ed-95ab-a159f39b1593,BIO,4,6
Joseph Borzellino,Joseph,Borzellino,118d90db-c8b7-4756-bf21-f7e12ac683b7,MATH,3.1,86
Jermaine Washington,Jermaine,Washington,11d044bb-56d3-46ea-9b4f-10aa2aca9fa0,ARCH,3,12
Hugh Smith,Hugh,Smith,11dd04c5-c04d-41fc-9aac-b337c6794c6a,CSC,3.32,33
Lonny Simonian,Lonny,Simonian,11de1dbc-9a07-4f80-9c16-892cd72e1dbe,CM,3.25,4
Michael Boswell,Michael,Boswell,11eddcb6-d9a9-4cc9-8a7d-f69d40b64cfb,CRP,3.2,19
Tanner Treece,Tanner,Treece,11eec8b9-fcf9-44e6-9f58-f39e72da948e,CHEM,3.82,11
James Crew,James,Crew,11efec99-0614-49b8-9189-bf871ce14fe5,MATH,3.73,27
John George Coroneus,John George,Coroneus,11f1cf28-f2f5-4fa0-a284-66e051467e70,PHYS,2.65,20
Rudy Schalk,Rudy,Schalk,122753f4-8779-4e41-b3e7-ce6e3b16ec69,BRAE,3.4,5
Brian Lawler,Brian,Lawler,123bb828-6614-4576-80d7-26dfd02c99fa,GRC,3.47,46
Elvira Pulitano,Elvira,Pulitano,123d1952-f0dc-4da3-93b1-cf952103d857,ES,2.27,37
Kimberly Griffin,Kimberly,Griffin,124f0030-8d5f-4b2c-84f9-c99620c60efb,CHEM,3.33,5
Felicia Korengel,Felicia,Korengel,125b8b2c-b881-4d72-8398-77f93a4c21f6,STAT,3.14,14
Mugizi Robert Rwebangira,Mugizi Robert,Rwebangira,1277f2ef-3ab6-4fc7-8dbe-c3aa668fe62c,CSC,2.83,24
Robert Inchausti,Robert,Inchausti,128240d6-97d7-4d97-9427-eae60be8e8bd,ENGL,3.65,54
Kathryn Voltmer,Kathryn,Voltmer,12d08ffe-e871-4689-a84d-f5d18d5d081b,MATH,2.45,27
Mohammad Ghamari,Mohammad,Ghamari,12d7e661-c9d0-4c43-9681-b8c23cae20fb,EE,4,1
William Horton,William,Horton,13562eb8-4c24-490e-9783-bb47d17a3213,EE,0.56,7
Dev Sisodia,Dev,Sisodia,138f93c1-0d91-486f-a7ef-c736eebd6204,CSC,3.84,25
Verena Alexander,Verena,Alexander,13b2240c-b811-4db6-8bdc-a76c77421c59,FSN,3,1
Jacques Belanger,Jacques,Belanger,13d63b30-4c27-4cc5-a201-f0f2c9e0fd70,ME,3.5,2
Barry VanderKelen,Barry,VanderKelen,1422ccd2-3e5f-4480-b292-f2b0c4e649d2,BUS,2.39,18
Norman Lai,Norman,Lai,1428b52d-4648-4065-9eb4-c70942f3e598,WGS,1,1
Devon Parham,Devon,Parham,142b9f4b-dbcc-4bcc-99e1-21dc49a0cccc,MATH,2,2
Francis Villablanca,Francis,Villablanca,14302845-22f8-4002-9453-359842a8433c,BIO,2.31,49
Lisha Duarte,Lisha,Duarte,14558331-ca80-4a53-b47c-9e2505416158,SPAN,3,1
Christopher Woodruff,Christopher,Woodruff,146c9f05-abdf-4a7a-9c56-7fbcd8d7d297,MU,3.74,34
Shasta Palmer,Shasta,Palmer,147278a9-39be-4acc-9fec-700ac27ced16,BUS,4,2
Karen McGaughey,Karen,McGaughey,147a8956-0fff-41d6-a531-cb94397a8ce8,STAT,3.64,76
Wayne Howard,Wayne,Howard,148d60a0-0f41-47a6-a86a-b167a3027456,AGB,1.94,31
Marianne McGarry-Wolf,Marianne,McGarry-Wolf,149a6180-1bba-48b1-8606-6e3cff2d9eab,AGB,2.56,17
Andrew Silva,Andrew,Silva,14beb503-c2a9-4a71-8f0d-4c535bd5ff1e,KINE,2.71,17
Cevat Yaman,Cevat,Yaman,14e2ee34-800f-4e62-b1c2-016a9ae5656c,ENVE,2.5,2
Regulus Allen,Regulus,Allen,14f44235-2a5c-4a2a-8fb4-2c79befa27a5,ENGL,1.89,53
Anthony Buffa,Anthony,Buffa,150fb413-06db-4f26-8aae-b352818a3363,PHYS,2.63,53
David Keeling,David,Keeling,15212162-eb5c-494d-8a1f-b34eaab94bb2,CHEM,3.28,87
Paris Kalathas,Paris,Kalathas,1547bea3-a6d4-424b-9068-abf91529f64a,CSC,1,1
Samuel Tiscareno,Samuel,Tiscareno,15489148-f387-4527-a289-99330477453e,MATH,0,3
Payam Nayeri,Payam,Nayeri,1560360c-4c66-48a6-83e0-6bec9b350288,EE,4,2
Charmaine Martinez,Charmaine,Martinez,1591b1c2-9ff3-4bf9-82c6-30fa4e7b4289,ART,1.94,10
Barbara Frantz,Barbara,Frantz,15b1a27a-490b-4606-a1c3-92313c39c873,GER,3,22
Lori Temko,Lori,Temko,15ea8982-a40e-404e-8cec-57e592e33e35,COMS,3.33,6
David Braun,David,Braun,161914e9-31b0-4df6-bfc4-79b50ef56b32,EE,2.09,87
Eric Anderson,Eric,Anderson,16247be2-b937-42c2-8857-b905c2ed0324,BIO,2.5,2
Christiane Schroeter,Christiane,Schroeter,16784ab6-136f-449a-b1ad-d2a8554cc69b,AGB,1.39,60
Nick Bockelman,Nick,Bockelman,167efafd-c4e5-4f9c-a4c3-27559065d451,ART,3.67,3
Linda Lee,Linda,Lee,168973b1-c4a1-4d0f-8538-6b449a2718f9,PSY,3.72,31
Susan Elrod,Susan,Elrod,169ebb4c-9de4-42ed-8d57-fdace8739ebd,BIO,2.58,11
Chris Murphy,Chris,Murphy,16bcfcb5-854c-49b3-beda-cadad9d5779b,CE,3.11,26
Nilgun Sungar,Nilgun,Sungar,16d3e9c1-4b17-4708-94e1-60b83aec8bd5,PHYS,3.16,54
Brian Higgins,Brian,Higgins,16da5a77-652d-4d6b-ab52-bc114a23806d,ME,3.28,17
Puneet Agarwal,Puneet,Agarwal,16ea9d43-1edf-476e-9a51-21ca48621342,IME,4,3
Rebecca Michaud,Rebecca,Michaud,16ead9c1-21af-44e5-b290-dc015a28895c,MATH,3.44,19
Alan Zhang,Alan,Zhang,16eb0060-6be7-466a-8459-082f7f640e4c,ME,3.83,6
Aaron Kline,Aaron,Kline,17029dff-69dd-4344-bed9-83c69f1288d3,MU,4,4
Joseph Castro,Joseph,Castro,17054b84-bb40-466e-beac-d5779f5738e8,BUS,2,2
William Pendergast,William,Pendergast,171d9525-7da2-4b8f-848d-dcd25583ad82,BUS,2.29,38
Dean Arakaki,Dean,Arakaki,173a6d6e-0279-4cc8-8a8f-9091a6afd7c8,EE,1.75,82
Micheal Costello,Micheal,Costello,17571b99-6cc9-437a-a173-29ac30f20861,AEPS,2.76,28
Catherine Waitinas,Catherine,Waitinas,177105b8-0eff-4fdd-8592-f8fc78413445,ENGL,2.77,35
Morgan Sherman,Morgan,Sherman,17c66353-0157-4dc3-90b8-b3d7415f646f,MATH,3.34,69
Jaime Colome,Jaime,Colome,17e44356-8fb1-4780-89e2-be61765bfd67,BIO,1.15,26
Jad Josey,Jad,Josey,17f69012-4857-48a7-a105-f4712dab29af,ENGL,3,2
Robert McNeil,Robert,McNeil,1806db7d-8a82-45bf-b664-c09f59a75306,CE,1.88,6
David Zigler,David,Zigler,1830667a-6dcf-4786-bab3-cc82629be48c,CHEM,1.4,29
Keith Woodcock,Keith,Woodcock,18376dcd-a436-4dee-b836-62fd9fb312da,CRP,3.5,2
Nicholas Waldron,Nicholas,Waldron,1846e94f-a6ba-4d76-8295-c0d260884da0,MU,4,4
Emma Kuchera,Emma,Kuchera,1851bb62-32d6-455f-bfb6-29488ccd7753,JOUR,3,1
Haley Moniz,Haley,Moniz,185db05a-bd3e-4ea7-90bc-2933d823e3a9,BIO,3.73,15
David McDonald,David,McDonald,185f783d-9c03-4ed5-b5c2-727a6a764831,EE,4,4
Kelly Moreno,Kelly,Moreno,18bb9231-ca98-4917-9a90-9c3ed3a646d2,PSY,2.86,7
Aaron Keen,Aaron,Keen,18dc40bd-c9f6-4c9e-bfe2-658a37ba6e9b,CSC,2.91,93
Doug Cerf,Doug,Cerf,18edcc6c-ce30-48dd-a24d-610707ddf6a8,BUS,3.4,25
Patrick Wallen,Patrick,Wallen,18eea604-ace6-4f47-a2f8-f978e3375628,EE,0.38,12
Richard Cobb,Richard,Cobb,18f1f30b-5e12-4f4e-8966-482f86727d52,NR,3,1
Alfredo Sanchez,Alfredo,Sanchez,1923281e-fa12-4376-83ea-976776b2b27e,PHYS,0.54,15
Joanna Laird,Joanna,Laird,19653bbf-c0d6-4566-a705-bcb4f918fe03,CHEM,2.83,6
Christine Kurtz,Christine,Kurtz,196555a6-3123-4196-a5dd-f9b0cd077027,MATE,4,5
Clark Turner,Clark,Turner,196c694c-01cd-4de6-b8eb-ef14e3b0aa54,CSC,2.97,61
Umut Toker,Umut,Toker,199d3d56-da74-4c36-b73a-2356a15f8928,CRP,3.67,11
carmen trudell,carmen,trudell,19a35b42-8fd3-489c-afa2-bafbf0ec7fe7,ARCH,3,13
Karin Hendricks,Karin,Hendricks,19e0f6d8-0f95-49e5-b2c8-6081f1cd3eed,TH,1.86,5
Earl Keller,Earl,Keller,19f0e319-a830-49b9-85e4-5aca2d44bb86,BUS,2.78,72
Ziemowit Bednarek,Ziemowit,Bednarek,19f36a36-669d-4c41-abfb-abdeccf68ae6,BUS,2.05,31
Stephen Beard,Stephen,Beard,1a048bb0-ab1e-4a0a-a7e8-1b1316bf16ff,CPE,4,8
Amir Hajrasouliha,Amir,Hajrasouliha,1a71c4de-f9ad-40c0-a2aa-78433e23580d,CRP,3,1
Brad Applin,Brad,Applin,1a85e02c-557c-421b-94f6-80b53affbf5f,IME,4,1
Gary Epstein,Gary,Epstein,1a89a391-3dc2-4d41-8a3d-e01ed8cd3432,MATH,1.63,53
Mahmood Nahvi,Mahmood,Nahvi,1a8ca89b-1a79-4493-a0dc-d79f2c18c36e,EE,1.69,47
Jasna Jovanovic,Jasna,Jovanovic,1a9b9706-8d8b-4b66-94c1-dd39eb995b6f,PSY,4,2
Wendy Hall,Wendy,Hall,1aafce0f-d47e-43a0-b41a-eb297cea01b7,ASCI,2.5,1
